closing_radius,spur_length,min_component_px,junction_merge_radius,min_branch_length,n_images,edge_f1_strict_mean,edge_f1_strict_median,edge_f1_relaxed_mean,edge_f1_relaxed_median,edge_f1_lenient_mean,edge_f1_lenient_median,edge_f1_soft_mean,edge_f1_soft_median,sweep_param
1,3,10,5,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,defaults
0,3,10,5,10,100,0.08939332435275346,0.0,0.21620287429194307,0.16025640545899095,0.2643999577326096,0.19090908602975218,0.24918713324223163,0.2361111061419754,closing_radius
1,3,10,5,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,closing_radius
2,3,10,5,10,100,0.08891772358382735,0.0,0.2166428392530816,0.1666666618055557,0.2669013261535405,0.20714285255561235,0.24924615191354021,0.24999999500000009,closing_radius
3,3,10,5,10,100,0.08769910886999893,0.0,0.21430393232135103,0.1602564053895465,0.2622427522550111,0.1999999952000001,0.24259931149865735,0.21637426409903915,closing_radius
1,0,10,5,10,100,0.07285807434885068,0.0,0.1823318833994967,0.1483516434975397,0.2296954245448733,0.23764705444340492,0.21811434989408038,0.20526315380166213,spur_length
1,3,10,5,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,spur_length
1,5,10,5,10,100,0.094734964287515,0.0,0.19981749783978947,0.17424241954086328,0.2493013339411559,0.21637426429055104,0.24122481593355996,0.1999999953777779,spur_length
1,8,10,5,10,100,0.046790845764133164,0.0,0.1559011280402786,0.0,0.21543228457366792,0.1538461488757398,0.21127858564236607,0.16666666173611128,spur_length
1,12,10,5,10,100,0.011190476084041952,0.0,0.04414700873019783,0.0,0.11622763931817595,0.0,0.14690746952731867,0.0,spur_length
1,3,5,5,10,100,0.06847354233107553,0.0,0.1583841675318394,0.09523809074829953,0.1984616619285777,0.16666666272569453,0.17707602856941673,0.16666666222222234,min_component_px
1,3,10,5,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,min_component_px
1,3,15,5,10,100,0.07205962720996448,0.0,0.19968877858721798,0.1538461488757398,0.26211532386867403,0.19047618553287998,0.2292171436329449,0.19374999507506263,min_component_px
1,3,20,5,10,100,0.05222799588725607,0.0,0.14897214895761463,0.0,0.18396705379085895,0.0,0.18471505966376128,0.101010097543108,min_component_px
1,3,30,5,10,100,0.019200576908313883,0.0,0.07981223216011583,0.0,0.09324646242343756,0.0,0.15411745854367692,0.0,min_component_px
1,3,10,3,10,100,0.09217517203526455,0.0,0.21946335454637844,0.1666666618055557,0.26778864311525014,0.19999999550000008,0.2496022736513272,0.22222221728395072,junction_merge_radius
1,3,10,5,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,junction_merge_radius
1,3,10,8,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,junction_merge_radius
1,3,10,10,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,junction_merge_radius
1,3,10,15,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,junction_merge_radius
1,3,10,5,5,100,0.07635264107371356,0.0,0.198007204805521,0.14835164357052305,0.2509164192030367,0.24999999531250006,0.2166738635102832,0.2361111068954712,min_branch_length
1,3,10,5,10,100,0.09041326732219311,0.0,0.2177014497846959,0.1666666618055557,0.26602673835356755,0.19999999550000008,0.24929274984202557,0.22649572165972687,min_branch_length
1,3,10,5,15,100,0.07552891448154114,0.0,0.19051909595737992,0.15142856689175527,0.2349187189815865,0.1999999952000001,0.22893551306754376,0.1999999952000001,min_branch_length
1,3,10,5,20,100,0.058004094592076394,0.0,0.15946540515590107,0.0,0.20332910493798714,0.14835164357052305,0.21932186351713395,0.16666666206790137,min_branch_length
1,3,10,5,30,100,0.024785214475106097,0.0,0.07217536904318153,0.0,0.09317663510708762,0.0,0.14251999615703143,0.0,min_branch_length
